Year,State,District,Season,Crop,Area_ha,Rainfall_mm,Fertilizer_kg_ha,Tmin_C,Tmax_C,SOC_pct,Production_t,Yield_t_ha
2001,Bihar,District_16,Summer,Groundnut,279.55,689.9,107.8,18.1,31.0,0.55,297.46,1.064067250939009
2013,Gujarat,District_17,Rabi,Barley,561.29,1316.8,134.3,20.1,30.9,,1286.65,2.2923087886832123
2003,Maharashtra,District_18,Rabi,Groundnut,359.4,1070.7,209.2,21.1,30.6,0.98,666.04,1.8531997774067892
2017,Maharashtra,District_19,Rabi,Maize,649.65,1030.8,,25.2,27.4,0.12,1599.42,2.4619718309859158
2016,Tamil Nadu,District_20,Autumn,Mustard,236.18,976.8,80.2,22.4,31.5,0.69,235.27,0.9961470065204505
2022,Haryana,District_21,Kharif,Rice,1026.73,629.3,111.9,23.6,30.8,,3305.31,3.2192592015427617
2017,Uttar Pradesh,District_22,Kharif,Barley,182.87,1131.1,156.5,18.2,35.5,0.8,419.45,2.2937059113031113
2008,Madhya Pradesh,District_23,Kharif,Barley,154.49,664.5,169.8,18.4,28.4,1.02,349.68,2.263447472328306
2023,Telangana,District_24,Summer,Mustard,118.39,912.3,162.5,19.3,30.3,0.39,141.2,1.1926682996874736
2009,Gujarat,District_25,Rabi,Barley,990.9,489.3,192.0,19.6,29.3,0.4,1574.18,1.588636592996266
2007,Andhra Pradesh,District_26,Rabi,Pulses,400.08,401.0,74.5,,36.3,1.16,278.82,0.6969106178764247
2021,Andhra Pradesh,District_27,Kharif,Sugarcane,200.24,920.0,192.5,23.8,29.4,0.83,16305.4,81.42928485817019
2008,Karnataka,District_28,Autumn,Cotton,517.71,672.0,132.5,22.7,,0.83,712.67,1.3765814838423054
2001,West Bengal,District_29,Kharif,Sorghum,369.67,412.4,174.3,19.1,34.9,0.52,395.62,1.0701977439337786
2011,Andhra Pradesh,District_30,Kharif,Groundnut,796.06,968.9,92.1,21.9,31.6,0.83,988.97,1.2423309800768787
2019,Karnataka,District_31,Autumn,Wheat,96.67,1316.4,145.2,20.7,27.9,0.51,278.21,2.877935243612289
2004,Bihar,District_32,Kharif,Sorghum,208.68,1155.7,154.5,22.2,27.9,1.1,401.94,1.9261069580218515
2011,Uttar Pradesh,District_33,Kharif,Rice,185.39,793.4,191.2,16.0,34.6,1.48,784.32,4.230648902314042
2003,Punjab,District_34,Rabi,Pulses,74.87,851.9,81.6,19.6,28.2,0.92,64.29,0.8586883932149059
2016,Tamil Nadu,District_35,Kharif,Wheat,462.29,1045.3,146.2,19.8,33.2,0.64,1744.19,3.772934737935062
2011,Rajasthan,District_36,Kharif,Groundnut,208.05,1096.9,101.6,21.9,32.3,0.17,227.85,1.0951694304253785
2007,Punjab,District_37,Kharif,Sugarcane,381.37,774.4,165.2,18.1,33.1,0.38,24538.91,64.34410152869916
2005,Tamil Nadu,District_38,Kharif,Sugarcane,1008.14,,176.1,12.5,33.4,1.19,83346.71,82.67374570992125
2013,Andhra Pradesh,District_39,Summer,Groundnut,197.96,916.1,196.5,16.8,29.2,0.54,256.55,1.295968882602546
2016,Telangana,District_40,Rabi,Mustard,190.05,971.9,123.6,19.8,29.1,0.71,219.19,1.1533280715601157
2022,Rajasthan,District_1,Kharif,Cotton,262.75,820.7,182.1,20.2,34.1,,521.31,1.9840532825880113
2010,Rajasthan,District_2,Kharif,Sorghum,442.46,823.6,199.4,25.1,30.1,1.17,742.03,1.677055553044343
2003,Kerala,District_3,Kharif,Sugarcane,174.16,1153.6,79.3,21.7,23.7,0.75,11888.11,68.25970372071659
2019,Tamil Nadu,District_4,Rabi,Wheat,167.57,1116.1,169.5,20.2,33.9,0.7,624.3,3.725607208927612
2015,Kerala,District_5,Summer,Rice,461.42,955.0,183.3,19.9,28.9,0.82,1553.66,3.3671275627411035
2016,Andhra Pradesh,District_6,Summer,Maize,307.1,1228.2,134.7,23.3,33.4,0.64,977.74,3.1837837837837837
2002,Uttar Pradesh,District_7,Kharif,Groundnut,71.75,765.0,96.6,18.2,36.2,0.66,80.01,1.1151219512195123
2007,Gujarat,District_8,Kharif,Pulses,117.3,1207.1,182.7,19.6,32.1,0.9,181.0,1.5430520034100597
2018,Bihar,District_9,Kharif,Cotton,602.29,969.4,97.0,16.7,35.0,0.85,971.31,1.612694881203407
2019,Odisha,District_10,Rabi,Sugarcane,311.42,1569.6,137.9,24.3,32.5,1.33,33939.53,108.98314173784598
2010,Gujarat,District_11,Kharif,Barley,154.88,587.7,143.4,21.2,36.8,0.91,281.88,1.8199896694214877
2019,Telangana,District_12,Rabi,Pulses,220.91,,173.6,17.9,28.8,1.09,233.61,1.0574894753519533
2020,Madhya Pradesh,District_13,Rabi,Rice,246.64,942.1,119.9,19.7,32.0,0.53,774.17,3.138866363931236
2009,Andhra Pradesh,District_14,Kharif,Rice,380.48,937.4,117.6,21.5,34.0,0.93,1315.0,3.4561606391925985
2021,West Bengal,District_15,Kharif,Sugarcane,108.31,,149.0,19.2,31.4,0.62,8422.38,77.76179484812113
2006,Maharashtra,District_16,Kharif,Sugarcane,147.74,703.0,185.3,,35.5,0.9,10064.44,68.12264789495059
2005,Haryana,District_17,Kharif,Barley,288.23,1049.1,236.5,18.0,30.7,0.97,882.3,3.0610970405578874
2016,Punjab,District_18,Kharif,Pulses,230.47,1105.7,84.7,21.0,38.2,0.81,232.87,1.0104135028420185
2015,Maharashtra,District_19,Rabi,Mustard,344.85,1005.0,157.6,18.9,38.4,1.4,523.95,1.51935624184428
2003,Andhra Pradesh,District_20,Kharif,Pulses,117.01,638.6,101.5,18.6,32.8,1.16,111.25,0.9507734381676779
2019,Tamil Nadu,District_21,Kharif,Cotton,303.16,1159.7,185.8,16.0,33.7,1.09,777.57,2.5648832299775695
2004,Kerala,District_22,Rabi,Groundnut,471.04,1120.5,107.5,20.2,35.6,0.99,729.46,1.548615828804348
2019,Rajasthan,District_23,Rabi,Groundnut,327.7,981.9,118.0,19.5,28.4,1.24,488.84,1.491730241074153
2000,Uttar Pradesh,District_24,Kharif,Mustard,265.99,895.0,121.4,19.0,28.1,0.44,274.48,1.0319184931764351
2019,Odisha,District_25,Rabi,Wheat,231.01,899.7,142.0,20.6,35.8,1.14,905.74,3.9207826501017276
2018,Punjab,District_26,Summer,Groundnut,148.28,832.7,157.9,22.2,32.8,0.55,202.99,1.368964121931481
2018,Haryana,District_27,Rabi,Maize,234.35,,164.3,22.1,31.3,0.66,743.99,3.1746959675698743
2015,Gujarat,District_28,Rabi,Mustard,521.04,856.8,144.8,21.7,32.0,0.94,632.04,1.2130354675264856
2011,Kerala,District_29,Kharif,Mustard,227.83,663.3,91.8,19.3,24.8,,233.28,1.0239213448623974
2016,Telangana,District_30,Summer,Groundnut,143.47,619.3,174.1,18.3,31.4,0.51,170.55,1.1887502613786856
2006,Maharashtra,District_31,Kharif,Sorghum,182.12,684.6,142.9,16.9,29.7,0.67,205.83,1.1301888864484955
2018,Karnataka,District_32,Summer,Pulses,276.03,898.9,191.5,18.2,34.8,0.82,347.45,1.2587399920298519
2013,Tamil Nadu,District_33,Rabi,Rice,195.56,844.1,116.7,20.1,35.0,0.75,492.02,2.5159541828594802
2011,Telangana,District_34,Kharif,Groundnut,327.4,897.4,80.9,17.6,33.7,1.01,422.64,1.2908979841172878
2012,Uttar Pradesh,District_35,Kharif,Mustard,334.86,960.2,143.6,20.3,33.2,1.66,540.15,1.6130621752374126
2013,Haryana,District_36,Rabi,Wheat,417.13,712.0,196.8,17.1,27.5,0.9,1291.29,3.0956536331599263
2000,Rajasthan,District_37,Rabi,Wheat,574.87,,151.4,15.0,33.8,0.62,2149.72,3.7394889279315318
2003,Odisha,District_38,Kharif,Maize,444.75,791.1,137.0,22.5,33.9,0.48,996.78,2.2412141652613826
2005,Madhya Pradesh,District_39,Rabi,Barley,139.69,754.6,110.2,18.6,35.7,0.72,238.35,1.7062781874149904
2002,Kerala,District_40,Summer,Pulses,648.1081892355238,956.1,215.3,17.5,38.4,0.56,688.8524302462125,1.0628664190445558
2010,Bihar,District_1,Kharif,Sorghum,233.82,446.0,103.8,16.7,26.9,0.92,244.57,1.0459755367376615
2016,Haryana,District_2,Kharif,Barley,186.66,676.1,116.0,21.3,30.8,0.91,359.94,1.928318868531019
2015,Maharashtra,District_3,Kharif,Pulses,123.59,1065.8,167.8,24.1,29.8,0.68,143.17,1.1584270572052753
2011,Uttar Pradesh,District_4,Rabi,Groundnut,187.73,467.8,70.8,,32.5,1.3,199.36,1.0619506738400897
2020,Telangana,District_5,Kharif,Cotton,184.07,1095.9,196.0,19.4,32.0,0.62,431.99,2.346878904764492
2013,Gujarat,District_6,Summer,Rice,163.51,1182.5,170.0,23.2,31.3,0.77,725.76,4.438627606874197
2001,Punjab,District_7,Kharif,Cotton,202.46,768.7,181.0,14.6,35.1,0.96,355.78,1.7572853897066085
2018,Bihar,District_8,Rabi,Pulses,496.25,914.2,167.3,25.9,28.7,1.02,515.38,1.0385491183879094
2013,Punjab,District_9,Kharif,Wheat,275.76,1096.2,138.6,27.3,28.9,1.12,1128.16,4.091093704670729
2015,Karnataka,District_10,Kharif,Maize,1078.24,747.3,102.5,11.9,28.9,0.91,2641.73,2.45003895236682
2013,Madhya Pradesh,District_11,Rabi,Rice,271.05,1040.9,139.4,19.7,30.9,1.06,958.02,3.534477033757609
2013,Rajasthan,District_12,Kharif,Mustard,205.61,702.3,106.0,,28.3,,201.21,0.9786002626331404
2002,Kerala,District_13,Rabi,Barley,245.3,744.9,164.4,19.2,31.9,1.03,539.11,2.1977578475336323
2013,Tamil Nadu,District_14,Autumn,Barley,285.4,674.1,177.3,18.7,31.5,1.03,663.06,2.3232655921513663
2019,Maharashtra,District_15,Autumn,Cotton,317.71,925.4,204.1,22.4,29.6,1.18,750.37,2.3618079380567187
2007,West Bengal,District_16,Summer,Pulses,850.67,1104.8,159.9,19.7,34.6,,813.87,0.9567399814264052
2014,Punjab,District_17,Kharif,Sorghum,147.35,809.5,182.0,17.3,31.8,0.57,198.9,1.3498473023413642
2000,Haryana,District_18,Rabi,Pulses,409.7,570.3,133.1,19.5,35.2,1.01,350.11,0.854552111300952
2008,Tamil Nadu,District_19,Summer,Maize,277.18,611.8,125.9,21.5,31.4,,490.21,1.768561945306299
2010,Kerala,District_20,Kharif,Cotton,95.33,936.8,163.9,16.4,31.9,0.92,176.33,1.8496800587433129
2023,Maharashtra,District_21,Kharif,Mustard,388.55,1255.7,129.5,15.1,30.3,1.06,638.84,1.6441642002316303
2005,Chhattisgarh,District_22,Rabi,Sugarcane,523.52,936.6,155.8,26.0,32.0,0.66,39206.66,74.89047218826407
2006,Bihar,District_23,Kharif,Barley,146.31,764.9,102.6,18.1,34.1,0.69,281.17,1.9217415077575013
2009,Odisha,District_24,Rabi,Barley,243.38,1018.6,,19.6,30.8,0.53,525.41,2.158805160654121
2023,Chhattisgarh,District_25,Autumn,Rice,86.9,797.3,170.4,18.8,33.6,0.67,275.39,3.169044879171461
2020,West Bengal,District_26,Rabi,Mustard,114.98,,180.5,21.6,29.6,0.68,105.92,0.9212036875978431
2000,Telangana,District_27,Kharif,Cotton,458.89,639.1,105.6,25.3,,0.63,643.05,1.4013162195733182
2005,Rajasthan,District_28,Kharif,Pulses,184.96,1159.9,,21.7,30.3,0.62,208.39,1.1266760380622836
2019,Rajasthan,District_29,Kharif,Maize,125.8,291.4,123.7,15.4,34.6,0.73,218.47,1.73664546899841
2001,Odisha,District_30,Kharif,Cotton,280.81,1025.5,145.7,15.8,32.2,0.73,484.11,1.7239770663437912
2020,Andhra Pradesh,District_31,Rabi,Cotton,178.85,748.0,201.7,18.8,36.6,1.27,358.58,2.004920324294101
2006,Kerala,District_32,Rabi,Rice,184.47,759.7,177.3,19.2,28.5,0.7,690.59,3.743643952946279
2022,Madhya Pradesh,District_33,Kharif,Mustard,381.3,1222.3,176.8,14.8,27.6,0.89,611.18,1.602884867558353
2007,Uttar Pradesh,District_34,Kharif,Wheat,121.87,692.9,221.4,22.5,30.2,0.66,449.91,3.6917206859768608
2010,Gujarat,District_35,Summer,Cotton,142.14,700.4,116.8,16.7,27.8,0.65,205.22,1.443787814830449
2015,Madhya Pradesh,District_36,Kharif,Wheat,268.39,821.3,105.6,24.5,27.9,0.37,637.58,2.3755728603897315
2003,Karnataka,District_37,Rabi,Wheat,437.75,941.0,116.1,25.5,33.9,0.41,1145.17,2.6160365505425474
2013,Chhattisgarh,District_38,Kharif,Cotton,514.35,752.8,134.8,19.3,32.0,0.5,762.4,1.4822591620491883
2012,Bihar,District_39,Rabi,Sorghum,164.18,503.8,50.8,21.3,30.6,0.85,146.18,0.8903642343769034
2018,Karnataka,District_40,Kharif,Sorghum,429.42,659.5,136.7,16.3,30.8,1.07,582.1,1.355549345628988
2023,Bihar,District_1,Rabi,Cotton,152.86,1131.9,123.2,21.9,30.2,0.35,233.3,1.5262331545204761
2015,Bihar,District_2,Kharif,Pulses,731.96,866.5,176.4,18.5,37.0,0.66,743.78,1.0161484234111153
2009,Karnataka,District_3,Rabi,Sorghum,123.93,949.2,159.1,16.7,29.8,0.46,162.47,1.3109820059711126
2009,Gujarat,District_4,Kharif,Maize,542.99,792.5,121.0,19.1,28.0,0.73,1314.03,2.419989318403654
2010,Maharashtra,District_5,Kharif,Sorghum,165.03,704.9,168.6,18.6,34.4,1.07,208.82,1.2653456947221717
2019,Andhra Pradesh,District_6,Rabi,Wheat,818.89,1219.1,173.9,19.0,31.4,0.69,2999.47,3.6628484900291856
2007,Haryana,District_7,Kharif,Maize,348.9,808.6,114.3,22.8,38.1,0.79,818.75,2.346660934365148
2004,Madhya Pradesh,District_8,Kharif,Cotton,133.01,752.5,125.3,17.6,30.4,1.16,241.17,1.8131719419592511
2008,West Bengal,District_9,Kharif,Rice,178.87,1091.2,56.0,25.2,34.5,0.91,604.62,3.380220271705708
2000,Punjab,District_10,Kharif,Barley,391.0,,101.4,16.0,35.2,0.61,560.51,1.433529411764706
2002,Uttar Pradesh,District_11,Kharif,Barley,460.17,719.2,115.3,24.8,30.4,0.84,806.76,1.7531781732837863
2002,Karnataka,District_12,Summer,Cotton,234.53,852.3,148.0,17.0,29.8,0.59,363.3,1.5490555579243594
2018,Madhya Pradesh,District_13,Kharif,Barley,251.34,,107.2,20.0,34.2,0.91,526.99,2.096721572372086
2017,Kerala,District_14,Rabi,Mustard,385.68,907.1,124.5,18.5,33.7,0.93,451.3,1.170141049574777
2016,Uttar Pradesh,District_15,Autumn,Barley,264.83,1310.2,96.0,19.0,27.8,0.46,513.97,1.940754446248537
2011,West Bengal,District_16,Kharif,Barley,112.61,924.0,151.8,,28.6,0.84,224.18,1.990764585738389
2017,West Bengal,District_17,Rabi,Pulses,150.24,326.8,162.0,24.5,24.4,0.77,118.92,0.7915335463258786
2003,Tamil Nadu,District_18,Summer,Wheat,281.76,921.8,161.1,23.6,33.8,0.94,1003.8,3.5626064735945486
2021,Maharashtra,District_19,Rabi,Sorghum,507.39,858.3,145.5,18.8,31.2,1.01,672.47,1.3253513076725991
2012,Maharashtra,District_20,Kharif,Groundnut,645.22,859.6,83.4,20.6,31.5,0.92,782.0,1.2119897089364868
2022,West Bengal,District_21,Kharif,Sorghum,390.61,904.1,120.2,17.7,26.9,0.72,519.08,1.3288958295998567
2003,Haryana,District_22,Kharif,Sorghum,290.72,843.7,128.7,17.0,28.7,1.03,357.82,1.2308062740781507
2011,Karnataka,District_23,Rabi,Wheat,383.48,838.4,128.9,16.6,30.6,,1011.99,2.638964222384479
2016,Uttar Pradesh,District_24,Autumn,Sugarcane,164.01,984.9,148.0,18.7,30.0,0.47,12953.23,78.97829400646302
2011,Kerala,District_25,Autumn,Wheat,223.2,730.7,202.0,20.7,32.4,0.1,591.86,2.6517025089605735
2010,Gujarat,District_26,Kharif,Rice,149.23,641.5,177.5,14.3,33.8,0.78,514.29,3.4462909602626817
2003,Maharashtra,District_27,Rabi,Sorghum,115.67,,105.5,19.9,38.8,0.59,162.37,1.4037347626869543
2009,Karnataka,District_28,Kharif,Sorghum,298.91,692.5,172.1,24.5,31.9,0.9,393.86,1.3176541433876416
2005,Uttar Pradesh,District_29,Summer,Sorghum,273.5,872.0,170.6,23.4,35.3,,309.53,1.1317367458866543
2007,Uttar Pradesh,District_30,Kharif,Barley,369.66,521.0,112.8,18.2,29.5,0.64,602.13,1.628875182600227
2016,Haryana,District_31,Summer,Groundnut,339.57,875.6,179.0,15.8,27.0,0.92,593.83,1.7487705038725447
2015,Maharashtra,District_32,Rabi,Pulses,283.04,644.7,138.6,21.4,30.9,0.54,248.06,0.8764132278123233
2014,West Bengal,District_33,Kharif,Sorghum,341.71,752.7,,13.0,27.2,0.9,339.55,0.9936788504872553
2008,Rajasthan,District_34,Kharif,Pulses,238.5,1079.9,,23.3,32.0,0.66,292.71,1.2272955974842767
2023,Gujarat,District_35,Rabi,Groundnut,313.48,953.8,153.7,19.4,29.7,0.79,456.66,1.4567436519076178
2002,Odisha,District_36,Kharif,Maize,158.27,975.1,,25.5,26.1,0.95,453.99,2.868452644215581
2008,Odisha,District_37,Rabi,Mustard,305.46,460.3,143.5,,37.2,1.04,301.76,0.9878871210633143
2002,Punjab,District_38,Summer,Barley,365.42,1254.1,116.2,22.8,30.4,0.82,919.02,2.5149690766788897
2008,Andhra Pradesh,District_39,Rabi,Groundnut,163.73,587.8,169.4,19.7,27.1,0.6,205.76,1.2567031087766445
2023,Haryana,District_40,Kharif,Sugarcane,252.42,1186.3,143.3,19.0,34.7,0.69,20780.0,82.32311227319548
2008,Telangana,District_1,Kharif,Wheat,168.32,1074.7,151.7,15.9,29.8,0.96,684.66,4.067609315589354
2021,Gujarat,District_2,Kharif,Rice,178.41,977.0,159.3,21.8,35.3,0.54,614.01,3.441567176727762
2011,Haryana,District_3,Autumn,Groundnut,124.59,661.9,98.8,22.0,29.8,0.76,131.58,1.0561040211895016
2016,Karnataka,District_4,Kharif,Groundnut,522.94,883.3,109.2,25.4,30.4,0.7,617.99,1.1817608138600986
2010,Chhattisgarh,District_5,Kharif,Mustard,463.78,746.4,56.6,23.0,,0.77,420.33,0.9063133382207081
2006,Chhattisgarh,District_6,Kharif,Sorghum,337.8,856.4,167.6,,33.8,0.55,423.83,1.2546773238602722
2018,Karnataka,District_7,Autumn,Sugarcane,798.97,795.0,96.5,17.0,,0.34,38585.97,48.29464185138366
2023,Telangana,District_8,Kharif,Barley,218.43,401.5,150.3,15.9,31.7,0.93,401.67,1.838895756077462
2006,Andhra Pradesh,District_9,Summer,Mustard,1508.78,1096.8,159.8,24.4,33.6,1.04,2190.43,1.4517888625246886
2018,Haryana,District_10,Rabi,Maize,213.47,832.2,169.1,17.7,34.2,,601.87,2.8194594088162273
2006,Andhra Pradesh,District_11,Rabi,Barley,285.18,743.3,96.8,24.4,32.6,0.89,455.93,1.5987446525001754
2017,Maharashtra,District_12,Autumn,Rice,192.74,726.7,142.4,21.6,31.6,1.07,656.27,3.4049496731347926
2018,Haryana,District_13,Rabi,Pulses,305.94,928.9,211.8,21.0,27.7,0.95,367.85,1.2023599398574885
2010,Tamil Nadu,District_14,Summer,Sorghum,403.98,653.4,213.6,19.1,33.8,0.7,494.42,1.2238724689341056
2017,Odisha,District_15,Kharif,Groundnut,228.53,353.9,184.5,22.0,32.1,0.56,233.72,1.0227103662538835
2006,Tamil Nadu,District_16,Rabi,Sorghum,710.54,939.6,158.5,20.0,30.8,0.82,1146.56,1.613645959411152
2001,Punjab,District_17,Rabi,Rice,282.45,964.2,104.8,18.9,35.8,0.86,929.53,3.2909541511771994
2002,Madhya Pradesh,District_18,Rabi,Pulses,287.81,806.1,173.7,22.1,27.7,0.82,284.47,0.9883951217817311
2010,Telangana,District_19,Summer,Mustard,141.83,,138.7,,36.9,0.75,118.98,0.8388916308256362
2021,Madhya Pradesh,District_20,Autumn,Groundnut,314.54,869.6,167.4,17.6,31.9,0.53,368.47,1.1714567304635342
2003,West Bengal,District_21,Rabi,Barley,225.79,527.8,119.7,21.8,33.0,0.91,369.7,1.6373621506709775
2010,West Bengal,District_22,Kharif,Sugarcane,169.87,624.0,138.1,19.8,,0.92,10964.37,64.54565255783835
2016,Odisha,District_23,Kharif,Groundnut,153.56,684.8,151.6,21.5,27.0,0.85,200.17,1.303529564990883
2004,Punjab,District_24,Kharif,Sugarcane,1215.68,1035.7,154.9,18.6,31.6,0.83,84382.68,69.41191760989733
2017,Haryana,District_25,Kharif,Barley,208.91,770.2,164.7,16.4,33.0,1.22,500.13,2.3939974151548515
2007,Telangana,District_26,Kharif,Wheat,102.09,751.5,121.8,25.2,34.0,0.64,299.75,2.936134783034577
2019,Punjab,District_27,Kharif,Maize,160.95,1280.0,91.3,24.6,31.4,1.12,592.72,3.682634358496428
2013,Uttar Pradesh,District_28,Kharif,Rice,237.24,927.5,210.0,22.7,25.4,0.62,776.82,3.274405665149216
2013,Haryana,District_29,Rabi,Mustard,339.68,924.6,244.6,18.8,27.4,,540.37,1.590820772491757
